dot00,ikeberyu,math_a,13時間1分29秒
dia07,suzukimiyu01,math_elementary,0時間28分1秒
holon-tierra_ng,Bananaoto20,math_a,11時間4分43秒
holon-tierra_k,htkc01,math_elementary,3時間28分47秒
dot00,TsubataYusuke,math_b,14時間54分11秒
holon-tierra_ng,mae-yurika,chemistry_basic,3時間56分34秒
holon-tierra_ng,mae-yurika,chemistry_standard,3時間38分36秒
kec03,mizuho0604,math_1,36時間1分14秒
kec03,mizuho0604,math_a,22時間47分37秒
sho02,yamane-hiroki-0104,en_grammar_advanced,5時間58分30秒
sho02,yamane-hiroki-0104,en_grammar_etc,2時間3分4秒
sho02,yamane-hiroki-0104,en_grammar_fundamental_plus,0時間27分60秒
sho02,yamane-hiroki-0104,en_grammar_fundamental,1時間19分52秒
sho02,yamane-hiroki-0104,en_grammar_advanced_plus,5時間51分5秒
holon-tierra_fu,WakazonoSatoka,math_elementary,0時間23分12秒
kec02,iwamotomio,math_2,38時間22分31秒
kec02,iwamotomio,math_a,13時間20分28秒
kec03,haru-121222,math_elementary,0時間57分11秒
hol20,umezawadaisuke,math_elementary,1時間8分34秒
holon-tierra_ng,shibayuto,math_2,26時間35分60秒
holon-tierra_ng,shibayuto,math_1,15時間36分34秒
holon-tierra_ng,shibayuto,math_a,12時間13分8秒
dia01,miura1013,math_basic,5時間19分27秒
dot00,sawaierina,en_grammar_advanced,10時間15分55秒
dot00,sawaierina,en_grammar_fundamental_plus,3時間12分37秒
zup04,saitoharuno,en_grammar_fundamental,10時間0分22秒
holon-tierra_fu,KitagawaYuki,math_elementary,2時間32分23秒
zup01,kojima_hazuki,math_elementary,0時間3分11秒
dot00,sawaierina,math_elementary,0時間4分33秒
holon-tierra_ng,Ryosuke1013,math_elementary,0時間10分54秒
sho02,watarai-ria,en_grammar_fundamental_plus,1時間58分28秒
meb04,Gakuto328,math_elementary,0時間2分49秒
dia04,ksaemtk,math_1,46時間53分22秒
dia04,ksaemtk,math_a,19時間11分40秒
holon-tierra_ng,abiru8007,math_a,13時間23分20秒
sho03,Miyakosi_Daiki_1016,math_elementary,0時間38分46秒
kec02,takahashisae,en_grammar_fundamental_plus,2時間13分37秒
mky02,sugimotoyuki,math_elementary,1時間21分30秒
univer,univer10,math_2,28時間53分47秒
univer,univer10,math_1,10時間24分48秒
univer,univer10,math_b,41時間47分23秒
univer,univer10,math_3,63時間1分48秒
univer,univer10,math_a,9時間50分32秒
sun01,natsuno-yoshikawa,en_grammar_advanced,12時間46分18秒
sun01,natsuno-yoshikawa,en_grammar_fundamental_plus,3時間32分51秒
kec03,tatsukiadachi,math_elementary,0時間23分56秒
meb04,matsuiyuma,en_grammar_fundamental_plus,5時間19分40秒
meb04,matsuiyuma,en_grammar_fundamental,31時間40分24秒
hol16,sakochan81,math_1,37時間58分1秒
hol16,sakochan81,math_a,5時間57分37秒
kec03,okayama,math_1,12時間57分9秒
aki01,atamaaika,math_a,5時間34分47秒
tie01,tsuda_yurina,math_1,10時間48分34秒
tie01,tsuda_yurina,math_a,9時間31分48秒
tie02,MATTSU,math_1,9時間22分14秒
zup01,inoue_arisa,math_elementary,0時間47分51秒
kec02,kimurahinako,en_grammar_advanced,18時間8分25秒
tkg01,unomichi,en_grammar_fundamental_plus,1時間1分4秒
dia03,miuradenden,math_elementary,0時間23分27秒
aki01,atamaaika,en_grammar_fundamental_plus,1時間48分24秒
aki01,atamaaika,en_grammar_fundamental,7時間3分4秒
kec05,nakajimayuta,en_grammar_fundamental_plus,0時間22分53秒
kec05,nakajimayuta,en_grammar_fundamental,3時間22分16秒
kec03,yucofujita,en_grammar_fundamental_plus,2時間43分28秒
kec03,yucofujita,en_grammar_fundamental,20時間22分17秒
